split,variant,use_prototypes,use_fuzzy,use_simulation,use_tree,use_calibration,neighbors,max_proto,simulation_multiplier,feature_count,rows,positives,top10_capture,top10_hit_rate,auc,pr_auc,brier
2025_01_to_2025_02,Full SDS-KB,True,True,True,True,True,5,4500,1.0,24,313896,12510,0.9907274180655475,0.3948391207390889,0.9946567122351437,0.8900799436528378,0.011189851007553474
2025_01_to_2025_02,No simulated severe store,True,True,False,True,True,5,4500,0.0,24,313896,12510,0.9902478017585932,0.39464797706275884,0.9947727487550019,0.8916253325140993,0.010916754021632526
2025_01_to_2025_02,No prototype affinity,False,True,True,True,True,0,0,1.0,19,313896,12510,0.9927258193445244,0.3956355527237974,0.9951668345534332,0.8986382164842786,0.011217174030903946
2025_01_to_2025_02,No fuzzy concepts,True,False,True,True,True,5,4500,1.0,16,313896,12510,0.9896083133493205,0.3943931188276521,0.994534161048856,0.8900794909531574,0.011040752772034168
2025_01_to_2025_02,Prototype-only scorer,True,True,False,False,True,5,4500,0.0,24,313896,12510,0.9732214228617106,0.38786237655304234,0.9865995715833351,0.7957486385219437,0.015258037568999662
2025_01_to_2025_02,No monotone calibration,True,True,True,True,False,5,4500,1.0,24,313896,12510,0.9907274180655475,0.3948391207390889,0.9946567122351437,0.8900799436528378,0.017135881359373873
2025_02_to_2025_03,Full SDS-KB,True,True,True,True,True,5,4500,1.0,24,378077,15495,0.9919328815747015,0.40652771900126955,0.9947941599827784,0.8957413560363102,0.010691442034499489
2025_02_to_2025_03,No simulated severe store,True,True,False,True,True,5,4500,0.0,24,378077,15495,0.9929654727331397,0.40695090986034704,0.9949815123348341,0.8958077925288938,0.010556060984402413
2025_02_to_2025_03,No prototype affinity,False,True,True,True,True,0,0,1.0,19,378077,15495,0.9943207486285899,0.40750634786288614,0.9956921787850689,0.904003513725523,0.010497299644028162
2025_02_to_2025_03,No fuzzy concepts,True,False,True,True,True,5,4500,1.0,16,378077,15495,0.9923201032591158,0.4066864155734236,0.9950053399499484,0.8973994809131481,0.010610720695764818
2025_02_to_2025_03,Prototype-only scorer,True,True,False,False,True,5,4500,0.0,24,378077,15495,0.9729590190383994,0.39875158696572155,0.9850924592577702,0.7785001579112332,0.015878976342068394
2025_02_to_2025_03,No monotone calibration,True,True,True,True,False,5,4500,1.0,24,378077,15495,0.9919328815747015,0.40652771900126955,0.9947941599827784,0.8957413560363102,0.01697089629390179
2025_03_to_2025_04,Full SDS-KB,True,True,True,True,True,5,4500,1.0,24,372996,15580,0.9932605905006419,0.4148793565683646,0.995803333884956,0.9147062079823176,0.010882131391617282
2025_03_to_2025_04,No simulated severe store,True,True,False,True,True,5,4500,0.0,24,372996,15580,0.9939024390243902,0.4151474530831099,0.9959655404583801,0.9155247961619541,0.010572863867123597
2025_03_to_2025_04,No prototype affinity,False,True,True,True,True,0,0,1.0,19,372996,15580,0.9953145057766367,0.4157372654155496,0.9963834989295437,0.919186984396438,0.01057682804058386
2025_03_to_2025_04,No fuzzy concepts,True,False,True,True,True,5,4500,1.0,16,372996,15580,0.9926829268292683,0.4146380697050938,0.9956939609864938,0.9125498141289468,0.010744415641070353
2025_03_to_2025_04,Prototype-only scorer,True,True,False,False,True,5,4500,0.0,24,372996,15580,0.9751604621309371,0.4073190348525469,0.9876415841169808,0.8228180282347094,0.018201774217601493
2025_03_to_2025_04,No monotone calibration,True,True,True,True,False,5,4500,1.0,24,372996,15580,0.9932605905006419,0.4148793565683646,0.995803333884956,0.9147062079823176,0.01642305630507863
