split,variant,use_prototypes,use_fuzzy,use_simulation,use_tree,use_calibration,neighbors,max_proto,simulation_multiplier,feature_count,rows,positives,top10_capture,top10_hit_rate,auc,pr_auc,brier
2025_01_to_2025_02,Simulation multiplier 0.5,True,True,True,True,True,5,4500,0.5,24,313896,12510,0.9898481215027978,0.39448869066581715,0.9946384720974389,0.888900486717089,0.011184843948684612
2025_01_to_2025_02,Simulation multiplier 1,True,True,True,True,True,5,4500,1.0,24,313896,12510,0.9903277378097523,0.3946798343421472,0.9945553839423336,0.888319564500212,0.011329391807311445
2025_01_to_2025_02,Simulation multiplier 1.5,True,True,True,True,True,5,4500,1.5,24,313896,12510,0.9898481215027978,0.39448869066581715,0.9944937752889405,0.8874926539029284,0.011415682443867581
2025_01_to_2025_02,Prototype neighbors 1,True,True,True,True,True,1,4500,1.0,24,313896,12510,0.9896083133493205,0.3943931188276521,0.9945095610053468,0.8913757689159111,0.010534731786656848
2025_01_to_2025_02,Prototype neighbors 3,True,True,True,True,True,3,4500,1.0,24,313896,12510,0.990087929656275,0.39458426250398215,0.9943697572583701,0.8860693899127925,0.011176100471737511
2025_01_to_2025_02,Prototype neighbors 10,True,True,True,True,True,10,4500,1.0,24,313896,12510,0.9911270983213429,0.39499840713603057,0.9949433507947347,0.8939928899000393,0.011471415261002212
2025_01_to_2025_02,Prototype store 1500,True,True,True,True,True,5,1500,1.0,24,313896,12510,0.9906474820143885,0.3948072634597005,0.9949061054687269,0.8946631559113976,0.01137646065198535
2025_01_to_2025_02,Prototype store 3000,True,True,True,True,True,5,3000,1.0,24,313896,12510,0.9909672262190248,0.3949346925772539,0.9946905152976091,0.8931109471788624,0.011382700051449406
2025_02_to_2025_03,Simulation multiplier 0.5,True,True,True,True,True,5,4500,0.5,24,378077,15495,0.9923846402065183,0.40671286500211595,0.9949014025395417,0.8945508128471613,0.010638121414499067
2025_02_to_2025_03,Simulation multiplier 1,True,True,True,True,True,5,4500,1.0,24,378077,15495,0.991674733785092,0.40642192128650023,0.9946959512672661,0.8941525896998557,0.010797017693717692
2025_02_to_2025_03,Simulation multiplier 1.5,True,True,True,True,True,5,4500,1.5,24,378077,15495,0.9912229751532753,0.40623677528565383,0.9946737761363339,0.8950362491267414,0.010898947878028723
2025_02_to_2025_03,Prototype neighbors 1,True,True,True,True,True,1,4500,1.0,24,378077,15495,0.9919974185221039,0.4065541684299619,0.9948288705162575,0.8964571524246696,0.010360124582090452
2025_02_to_2025_03,Prototype neighbors 3,True,True,True,True,True,3,4500,1.0,24,378077,15495,0.99135204904808,0.4062896741430385,0.9945970564789102,0.8918139997147188,0.010775364529836767
2025_02_to_2025_03,Prototype neighbors 10,True,True,True,True,True,10,4500,1.0,24,378077,15495,0.9925782510487254,0.406792213288193,0.9951022801115221,0.8992308980180963,0.010600630764536658
