case,split,carrier,path,delay,risk,severe_distance,normal_distance,distance_margin,active_concepts,nearest_severe_path,nearest_severe_delay,nearest_normal_path,nearest_normal_delay
2025_01_to_2025_02_case1,2025_01_to_2025_02,WN,JAX->HOU->MSY,70.0,1.0,1.2379475818995531,5.261091804830773,4.02314422293122,buffer failure; late recurrence; upstream delay; recovery shortfall; tight turnaround,DFW->SAT->DFW,59.0,DEN->EAR->DEN,0.0
2025_01_to_2025_02_case2,2025_01_to_2025_02,WN,COS->PHX->ABQ,86.0,1.0,1.7522890374194495,8.344882279580354,6.592593242160904,buffer failure; late recurrence; congested carryover; upstream delay; recovery shortfall; tight turnaround,DEN->PHX->DEN,85.0,DEN->EAR->DEN,0.0
2025_01_to_2025_02_case3,2025_01_to_2025_02,DL,ATL->FLL->ATL,54.0,1.0,0.9319300207036125,5.843871765900225,4.9119417451966125,buffer failure; late recurrence; upstream delay; recovery shortfall; tight turnaround,ORD->DCA->ORD,63.0,DEN->EAR->DEN,0.0
2025_01_to_2025_02_case4,2025_01_to_2025_02,WN,TPA->MDW->OKC,105.0,1.0,1.0451265677849204,7.633149944642355,6.588023376857435,buffer failure; late recurrence; upstream delay; recovery shortfall; tight turnaround,BNA->PHL->MDW,122.0,DEN->EAR->DEN,0.0
2025_01_to_2025_02_case5,2025_01_to_2025_02,WN,BWI->MCO->PIT,72.0,1.0,0.9307036617971175,6.821863061506083,5.8911593997089655,buffer failure; late recurrence; upstream delay; recovery shortfall; tight turnaround,EWR->BNA->EWR,56.0,DEN->EAR->DEN,0.0
2025_02_to_2025_03_case1,2025_02_to_2025_03,WN,HOU->MEM->PHX,120.0,1.0,1.0914600542441175,4.389907609069616,3.298447554825499,buffer failure; late recurrence; upstream delay; recovery shortfall; tight turnaround,DFW->PBI->DFW,108.0,PHX->BOI->PHX,0.0
2025_02_to_2025_03_case2,2025_02_to_2025_03,WN,IND->SRQ->DEN,81.0,1.0,1.077613269733861,4.467433374000772,3.3898201042669114,buffer failure; late recurrence; upstream delay; recovery shortfall; tight turnaround,DEN->IND->LAS,59.0,PHX->BOI->PHX,0.0
2025_02_to_2025_03_case3,2025_02_to_2025_03,WN,SMF->SAN->SMF,111.0,1.0,0.9128835194742697,3.4547691999465293,2.5418856804722596,buffer failure; late recurrence; upstream delay; recovery shortfall; tight turnaround,MSY->SAN->SMF,101.0,PHX->BOI->PHX,0.0
2025_02_to_2025_03_case4,2025_02_to_2025_03,DL,DTW->STL->MSP,86.0,1.0,0.6546526954283547,3.4125137203796307,2.757861024951276,buffer failure; late recurrence; upstream delay; recovery shortfall; tight turnaround,SAV->BNA->MDW,88.0,PHX->BOI->PHX,0.0
2025_02_to_2025_03_case5,2025_02_to_2025_03,WN,TPA->FLL->STL,152.0,1.0,0.9567322804771047,5.455908068074355,4.499175787597251,buffer failure; late recurrence; upstream delay; recovery shortfall; tight turnaround,HOU->FLL->PIT,140.0,PHX->BOI->PHX,0.0
2025_03_to_2025_04_case1,2025_03_to_2025_04,DL,MCO->ATL->MIA,112.0,1.0,2.26454961536044,8.476792405867041,6.2122427905066,buffer failure; late recurrence; congested carryover; upstream delay; recovery shortfall; tight turnaround,EYW->ORD->EGE,58.0,MCI->LAS->PDX,6.0
2025_03_to_2025_04_case2,2025_03_to_2025_04,WN,MCI->BNA->DTW,103.0,1.0,1.6184638377928366,5.660188540666902,4.041724702874065,buffer failure; late recurrence; upstream delay; recovery shortfall; tight turnaround,MYR->BNA->MCO,85.0,MCI->LAS->PDX,6.0
2025_03_to_2025_04_case3,2025_03_to_2025_04,WN,LAS->SJC->SAN,96.0,1.0,0.5295848239393129,6.213889829247673,5.68430500530836,buffer failure; late recurrence; upstream delay; recovery shortfall; tight turnaround,BUR->SJC->SAN,92.0,DFW->GUC->DFW,0.0
2025_03_to_2025_04_case4,2025_03_to_2025_04,DL,FLL->CVG->SLC,219.0,1.0,1.3339394925278079,12.21384393234129,10.879904439813481,buffer failure; late recurrence; upstream delay; recovery shortfall; tight turnaround,DFW->MKE->PHX,150.0,DFW->GUC->DFW,0.0
2025_03_to_2025_04_case5,2025_03_to_2025_04,WN,BNA->TPA->BNA,68.0,1.0,1.3179938755027494,4.495256229041237,3.1772623535384876,buffer failure; late recurrence; upstream delay; recovery shortfall; tight turnaround,AUS->DAL->DEN,70.0,DFW->GUC->DFW,0.0
2025_04_to_2025_05_case1,2025_04_to_2025_05,WN,MCO->STL->RSW,121.0,1.0,0.7493298063542442,7.690295730092567,6.9409659237383226,buffer failure; late recurrence; upstream delay; recovery shortfall; tight turnaround,SNA->SJC->DEN,119.0,DEN->DAL->BNA,0.0
2025_04_to_2025_05_case2,2025_04_to_2025_05,AA,PHL->JAX->DCA,85.0,1.0,0.7154205817522001,5.721268252409546,5.005847670657346,buffer failure; late recurrence; upstream delay; recovery shortfall; tight turnaround,PHL->PBI->CLT,94.0,DEN->DAL->BNA,0.0
2025_04_to_2025_05_case3,2025_04_to_2025_05,AA,DFW->TYS->DFW,94.0,1.0,0.8028308873891714,5.77098317088039,4.968152283491219,buffer failure; late recurrence; upstream delay; recovery shortfall; tight turnaround,DEN->FAT->DEN,82.0,DEN->DAL->BNA,0.0
2025_04_to_2025_05_case4,2025_04_to_2025_05,DL,SLC->SNA->SLC,110.0,1.0,0.7064379348972218,6.216307905654624,5.509869970757402,buffer failure; late recurrence; upstream delay; recovery shortfall; tight turnaround,DEN->SDF->MCO,88.0,DEN->DAL->BNA,0.0
2025_04_to_2025_05_case5,2025_04_to_2025_05,WN,BUR->SJC->SAN,74.0,1.0,0.6593163658091867,5.360346396874551,4.701030031065364,buffer failure; late recurrence; upstream delay; recovery shortfall; tight turnaround,PHX->ABQ->PHX,78.0,DEN->DAL->BNA,0.0
2025_05_to_2025_06_case1,2025_05_to_2025_06,AA,DFW->SBA->DFW,119.0,1.0,1.0836170548733566,6.302236786059046,5.218619731185689,buffer failure; late recurrence; upstream delay; recovery shortfall; tight turnaround,TPA->MKE->PHX,86.0,COS->LAS->CMH,0.0
2025_05_to_2025_06_case2,2025_05_to_2025_06,AA,DFW->MCI->DFW,89.0,1.0,0.5530342249866951,5.779322910637153,5.226288685650458,buffer failure; late recurrence; upstream delay; recovery shortfall; tight turnaround,CLT->CVG->CLT,84.0,MCI->DCA->BDL,18.0
2025_05_to_2025_06_case3,2025_05_to_2025_06,WN,DAL->MDW->TPA,129.0,1.0,0.8770844199686179,5.737132729751798,4.86004830978318,buffer failure; late recurrence; upstream delay; recovery shortfall; tight turnaround,PHL->TPA->PHL,120.0,COS->LAS->CMH,0.0
