split,rows,positives,top10_rows,top10_severe_cases,severe_margin_mean,normal_margin_mean,severe_margin_median,normal_margin_median,separation_mean_gap,separation_median_gap,top10_severe_margin_mean,top10_normal_margin_mean,top10_margin_lift,evidence_hit_rate,nearest_severe_delay_median_top10_severe,nearest_normal_delay_median_top10_severe,prototype_delay_gap_top10_severe,nearest_severe_shortfall_median_top10_severe,nearest_normal_shortfall_median_top10_severe,top_evidence_concepts,severe_margin_p25,severe_margin_p50,severe_margin_p75,normal_margin_p25,normal_margin_p50,normal_margin_p75
2025_01_to_2025_02,313896,12510,31390,12394,2.7572050990375963,-0.9141252435090474,1.872478423969604,-0.8999435210992417,3.6713303425466437,2.772421945068846,2.7909697782608824,0.36085729916861903,2.4301124790922635,0.9700661610456672,57.0,0.0,57.0,54.0,54.0,Buffer; Congested; Recurrence; Shortfall; Tight turn; Upstream,1.1271748250403681,1.872478423969604,3.7615593634560334,-1.1884256858861577,-0.8999435210992417,-0.6780309760729966
2025_02_to_2025_03,378077,15495,37808,15370,2.1326174476650643,-0.9637233175059372,1.5761315271182372,-0.9126225581840121,3.0963407651710018,2.4887540853022494,2.1566739717066494,0.33668355629987906,1.8199904154067703,0.9673389720234222,57.0,0.0,57.0,54.0,53.0,Buffer; Congested; Recurrence; Shortfall; Tight turn; Upstream,0.8887491864987696,1.5761315271182372,2.794898852119907,-1.3660298392268264,-0.9126225581840121,-0.5881701970459093
2025_03_to_2025_04,372996,15580,37300,15475,2.625126453768249,-0.9626289495968868,1.7833434384769125,-0.9057019321965276,3.587755403365136,2.68904537067344,2.649213862583032,0.28913998492324494,2.3600738776597874,0.971373182552504,58.0,0.0,58.0,54.0,52.0,Buffer; Congested; Recurrence; Shortfall; Tight turn; Upstream,0.8895310659561081,1.7833434384769125,3.6613478691965513,-1.2870686385368602,-0.9057019321965276,-0.627754811844288
2025_04_to_2025_05,388315,19642,38832,19432,2.4336860425492572,-0.977291141604081,1.7110278008746538,-0.9235899879210185,3.4109771841533383,2.6346177887956723,2.4677383132772723,0.46849710496236796,1.9992412083149045,0.9748867846850556,57.0,0.0,57.0,52.0,47.0,Buffer; Congested; Recurrence; Shortfall; Tight turn; Upstream,0.9233324248520897,1.7110278008746538,3.191023186354194,-1.3063189225964633,-0.9235899879210185,-0.6423320408907689
2025_05_to_2025_06,382303,26670,38231,25903,2.072567553197691,-1.0176773496406482,1.619439597441306,-1.0032896374674336,3.0902449028383394,2.6227292349087397,2.1473481793273477,0.8726381577725336,1.2747100215548142,0.9845577732308999,58.0,0.0,58.0,53.0,47.0,Buffer; Congested; Recurrence; Shortfall; Tight turn; Upstream,0.9001506220408195,1.619439597441306,2.7922731051713447,-1.4201999526131595,-1.0032896374674336,-0.6329508750060627
2025_06_to_2025_07,388190,27986,38819,26991,1.7850997398831518,-0.9604004927776666,1.3793329517978172,-0.9275253940248417,2.7455002326608184,2.306858345822659,1.8659109064725687,0.788102236858283,1.077808669614286,0.9850690971064429,59.0,0.0,59.0,54.0,53.0,Buffer; Congested; Recurrence; Shortfall; Tight turn; Upstream,0.7308104309824783,1.3793329517978172,2.4529217990907504,-1.3182540803598723,-0.9275253940248417,-0.5862750796584397
2025_07_to_2025_08,375518,18515,37552,18322,1.6704631001917345,-0.8933005911412444,1.2892035302907736,-0.854651361862084,2.563763691332979,2.1438548921528575,1.6947391806234589,0.3046318192969301,1.3901073613265287,0.9660517410763018,59.0,0.0,59.0,52.0,49.0,Buffer; Congested; Recurrence; Shortfall; Tight turn; Upstream,0.6800115380800105,1.2892035302907736,2.1802203837344214,-1.2153879396431506,-0.854651361862084,-0.5360695499048496
2025_08_to_2025_09,363977,11393,36398,11352,2.6301350691892385,-0.9391534527613109,1.8669357247620657,-0.8310360762820846,3.5692885219505492,2.6979718010441505,2.643345084432201,0.11140868527227912,2.5319363991599215,0.970754052149401,57.0,0.0,57.0,54.0,51.0,Buffer; Congested; Recurrence; Shortfall; Tight turn; Upstream,1.0715948854252293,1.8669357247620657,3.314265370223394,-1.3629584037649816,-0.8310360762820846,-0.5676535487325489
2025_09_to_2025_10,396028,16316,39603,16209,2.9838572592456742,-0.9718067054753151,2.1650945375218558,-0.8881433705535597,3.9556639647209892,3.0532379080754155,3.0087414855964085,0.3659367921026847,2.6428046934937237,0.9727928928373126,53.0,0.0,53.0,51.0,39.0,Buffer; Congested; Recurrence; Shortfall; Tight turn; Upstream,1.0965059474162142,2.1650945375218558,3.864775346001476,-1.331939899349096,-0.8881433705535597,-0.6115324865227867
2025_10_to_2025_11,356333,16607,35634,16486,3.278687507400728,-1.0115389413071354,2.183478960729083,-0.9592554526930599,4.290226448707863,3.1427344134221427,3.309151286097332,0.4525137785937002,2.8566375075036317,0.9754337013223341,58.0,0.0,58.0,54.0,48.0,Buffer; Congested; Recurrence; Shortfall; Tight turn; Upstream,1.235727002818614,2.183478960729083,4.257092685943215,-1.374408042562313,-0.9592554526930599,-0.614414482261046
2025_11_to_2025_12,362076,21431,36208,20996,2.318892740350692,-0.9802070833290047,1.9503186632753242,-0.9301979984735832,3.2990998236796965,2.8805166617489073,2.3802575587310204,0.9203890234284947,1.4598685353025256,0.980758239664698,58.0,0.0,58.0,55.0,52.0,Buffer; Congested; Recurrence; Shortfall; Tight turn; Upstream,0.9601325069604637,1.9503186632753242,3.1846408917427085,-1.3292038630041652,-0.9301979984735832,-0.656330875865372
