split,model,bin,bin_low,bin_high,rows,mean_pred,observed_rate
2025_01_to_2025_02,SDS-KB,0,0.0,0.06666666666666667,292910,0.0015789862357836325,0.001095899764432761
2025_01_to_2025_02,SDS-KB,1,0.06666666666666667,0.13333333333333333,2487,0.11564864515391085,0.08082026537997587
2025_01_to_2025_02,SDS-KB,2,0.13333333333333333,0.2,920,0.14075077350918042,0.12282608695652174
2025_01_to_2025_02,SDS-KB,3,0.2,0.26666666666666666,15,0.2276853009676305,0.2
2025_01_to_2025_02,SDS-KB,4,0.26666666666666666,0.3333333333333333,407,0.29231602135282003,0.16216216216216217
2025_01_to_2025_02,SDS-KB,5,0.3333333333333333,0.4,118,0.3333333333333334,0.23728813559322035
2025_01_to_2025_02,SDS-KB,6,0.4,0.4666666666666667,719,0.4515894067454822,0.20166898470097358
2025_01_to_2025_02,SDS-KB,7,0.4666666666666667,0.5333333333333333,2262,0.48887329349569136,0.29708222811671087
2025_01_to_2025_02,SDS-KB,8,0.5333333333333333,0.6,1060,0.5554790236817347,0.37924528301886795
2025_01_to_2025_02,SDS-KB,9,0.6,0.6666666666666666,4,0.6304962432056872,0.5
2025_01_to_2025_02,SDS-KB,10,0.6666666666666666,0.7333333333333333,1345,0.7182154069983139,0.5197026022304833
2025_01_to_2025_02,SDS-KB,11,0.7333333333333333,0.8,1184,0.7471723569622857,0.575168918918919
2025_01_to_2025_02,SDS-KB,12,0.8,0.8666666666666667,1276,0.8483214390667578,0.6912225705329154
2025_01_to_2025_02,SDS-KB,13,0.8666666666666667,0.9333333333333333,1714,0.9022582750624546,0.7841306884480747
2025_01_to_2025_02,SDS-KB,14,0.9333333333333333,1.0,7475,0.9649056062753226,0.9298996655518394
2025_02_to_2025_03,SDS-KB,0,0.0,0.06666666666666667,349595,0.0009543609199010401,0.0008581358429039317
2025_02_to_2025_03,SDS-KB,1,0.06666666666666667,0.13333333333333333,5151,0.071596718665598,0.0512521840419336
2025_02_to_2025_03,SDS-KB,2,0.13333333333333333,0.2,26,0.16983852770987265,0.23076923076923078
2025_02_to_2025_03,SDS-KB,3,0.2,0.26666666666666666,1685,0.20681799021147873,0.11394658753709198
2025_02_to_2025_03,SDS-KB,4,0.26666666666666666,0.3333333333333333,16,0.3024151568780251,0.25
2025_02_to_2025_03,SDS-KB,5,0.3333333333333333,0.4,3598,0.3681625700190838,0.24263479710950528
2025_02_to_2025_03,SDS-KB,6,0.4,0.4666666666666667,26,0.4347142445666518,0.34615384615384615
2025_02_to_2025_03,SDS-KB,7,0.4666666666666667,0.5333333333333333,399,0.4717840802631521,0.2982456140350877
2025_02_to_2025_03,SDS-KB,8,0.5333333333333333,0.6,2963,0.5496774181013904,0.44211947350658115
2025_02_to_2025_03,SDS-KB,9,0.6,0.6666666666666666,11,0.6276420746754185,0.36363636363636365
2025_02_to_2025_03,SDS-KB,10,0.6666666666666666,0.7333333333333333,808,0.6917497956860429,0.5544554455445545
2025_02_to_2025_03,SDS-KB,11,0.7333333333333333,0.8,2471,0.7803705826496345,0.6701740186159449
2025_02_to_2025_03,SDS-KB,12,0.8,0.8666666666666667,129,0.8015956395758134,0.7906976744186046
2025_02_to_2025_03,SDS-KB,13,0.8666666666666667,0.9333333333333333,3198,0.9088673538212694,0.8449030644152595
2025_02_to_2025_03,SDS-KB,14,0.9333333333333333,1.0,8001,0.9769616480244069,0.9381327334083239
