split,queue,rows,positives,top10_capture,top10_hit_rate,auc,pr_auc,brier,reviewed_paths,captured_severe_cases,evidence_supported_severe_cases,evidence_hit_rate,severe_cases_per_100_reviews,evidence_supported_cases_per_100_reviews,top10_severe_margin_median,top10_normal_margin_median
2025_01_to_2025_02,SDS-KB queue,313896,12510,0.9907274180655475,0.3948391207390889,0.9946567122351437,0.8900799436528378,0.011189851007553474,31390,12394,12023,0.9700661610456672,39.48391207390889,38.302007008601464,1.8866795832036343,0.09438003505017611
2025_01_to_2025_02,LightGBM score queue with SDS-KB evidence,313896,12510,0.9960831334932054,0.39697355845810767,0.9960324176273111,0.9197846020224727,0.019904086400544824,31390,12461,12023,0.964850333039082,39.69735584581077,38.302007008601464,1.8792118590234308,0.04244608763676827
2025_02_to_2025_03,SDS-KB queue,378077,15495,0.9919328815747015,0.40652771900126955,0.9947941599827784,0.8957413560363102,0.010691442034499489,37808,15370,14868,0.9673389720234222,40.65277190012696,39.32501057977148,1.5930022126404797,0.1313725402243111
2025_02_to_2025_03,LightGBM score queue with SDS-KB evidence,378077,15495,0.9969022265246854,0.40856432501057977,0.9962686135571742,0.9190075794209194,0.02026037556869425,37808,15447,14866,0.9623875186120282,40.856432501057974,39.31972069403301,1.584202453292459,0.0592263328050151
2025_03_to_2025_04,SDS-KB queue,372996,15580,0.9932605905006419,0.4148793565683646,0.995803333884956,0.9147062079823176,0.010882131391617282,37300,15475,15032,0.971373182552504,41.48793565683646,40.30026809651474,1.8006286009682264,0.09018583440233585
2025_03_to_2025_04,LightGBM score queue with SDS-KB evidence,372996,15580,0.9971116816431322,0.41648793565683645,0.9970338448312626,0.9390101152931792,0.018964927797053745,37300,15535,15030,0.9674927582877374,41.64879356568365,40.29490616621984,1.7905687609995948,0.04091996731545944
2025_04_to_2025_05,SDS-KB queue,388315,19642,0.9893086243763364,0.50041203131438,0.9953009689062154,0.9196185747413059,0.01259888047747177,38832,19432,18944,0.9748867846850556,50.04120313143799,48.78450762257932,1.7312464453646115,0.18927460096098014
2025_04_to_2025_05,LightGBM score queue with SDS-KB evidence,388315,19642,0.9954179818755727,0.503502266172229,0.9966118214484784,0.942434086767044,0.021552801285010123,38832,19552,18944,0.9689034369885434,50.35022661722291,48.78450762257932,1.7197540679543177,0.1203111216601882
2025_05_to_2025_06,SDS-KB queue,382303,26670,0.9712410948631421,0.6775391697836834,0.9936936181426848,0.9158850266550491,0.017124275802809556,38231,25903,25503,0.9845577732308999,67.75391697836834,66.7076456278936,1.660559012100189,0.6003921201278255
2025_05_to_2025_06,LightGBM score queue with SDS-KB evidence,382303,26670,0.9794150731158605,0.6832413486437707,0.9954260080309217,0.9413208427265769,0.025454446796685244,38231,26121,25486,0.9756900578078941,68.32413486437707,66.66317909549842,1.6488705082887727,0.5364871874959098
