protocol,fold,queue,rows,positives,top10_capture,auc,pr_auc,brier,reviewed_paths,captured_severe_cases,evidence_supported_severe_cases,evidence_hit_rate,severe_cases_per_100_reviews,evidence_supported_cases_per_100_reviews
airport,2025_01_to_2025_02,PE-KB queue,169949,6351,0.9390647142182333,0.9806623491258125,0.8140677211967084,0.013736537566910925,16995,5964,5783,0.9696512407780014,35.09267431597529,34.02765519270373
airport,2025_01_to_2025_02,LightGBM score + PE-KB evidence,169949,6351,0.9785860494410329,0.9918351712996181,0.8799678253781872,0.011206130005845314,16995,6215,5814,0.935478680611424,36.56957928802589,34.21006178287732
airport,2025_01_to_2025_02,XGBoost score + PE-KB evidence,169949,6351,0.9741772949141867,0.9915582218464853,0.8737624408553101,0.010746800024377763,16995,6187,5819,0.9405204460966543,36.40482494851427,34.23948220064725
airport,2025_01_to_2025_02,CatBoost score + PE-KB evidence,169949,6351,0.9738623838765549,0.9915383967416287,0.8654944618441817,0.01093182483872104,16995,6185,5820,0.9409862570735651,36.393056781406294,34.24536628420124
airport,2025_02_to_2025_03,PE-KB queue,203567,8023,0.9481490714196684,0.9850967825013417,0.8263416390806706,0.014188703024243144,20357,7607,7303,0.960036808202971,37.367981529694944,35.874637716755906
airport,2025_02_to_2025_03,LightGBM score + PE-KB evidence,203567,8023,0.9663467530848809,0.9911531893952619,0.8807637574579088,0.010984156166928424,20357,7753,7289,0.9401521991487166,38.085179545119615,35.805865304317926
airport,2025_02_to_2025_03,XGBoost score + PE-KB evidence,203567,8023,0.9639785616352985,0.9915042393180157,0.872207019301359,0.011191889909045382,20357,7734,7287,0.9422032583397983,37.99184555681092,35.79604067396964
airport,2025_02_to_2025_03,CatBoost score + PE-KB evidence,203567,8023,0.9627321450828867,0.9905691008686116,0.8691489249307929,0.011404420850478785,20357,7724,7283,0.9429052304505438,37.94272240506951,35.776391413273075
airport,2025_03_to_2025_04,PE-KB queue,201615,8336,0.9596928982725528,0.9876923599494805,0.8580332712658683,0.01254951763560183,20162,8000,7584,0.948,39.67860331316338,37.61531594087888
airport,2025_03_to_2025_04,LightGBM score + PE-KB evidence,201615,8336,0.9787667946257198,0.9932319971445611,0.9066579885041385,0.010287943244963214,20162,8159,7580,0.9290354210074764,40.4672155540125,37.5954766392223
airport,2025_03_to_2025_04,XGBoost score + PE-KB evidence,201615,8336,0.9797264875239923,0.9933815595371321,0.8994592515951122,0.010467615268068081,20162,8167,7581,0.9282478266193217,40.50689415732566,37.600436464636445
airport,2025_03_to_2025_04,CatBoost score + PE-KB evidence,201615,8336,0.970609404990403,0.9922812498985212,0.8913106572940185,0.010696614579971434,20162,8091,7578,0.9365962180200222,40.12994742585061,37.58555698839401
airport,2025_04_to_2025_05,PE-KB queue,210948,10464,0.9482033639143731,0.9857198253677936,0.8639368420187175,0.014407855039863507,21095,9922,9667,0.9742995363837936,47.03484237971083,45.82602512443707
airport,2025_04_to_2025_05,LightGBM score + PE-KB evidence,210948,10464,0.9771597859327217,0.9933744276637235,0.9151988865487595,0.011790750978881555,21095,10225,9666,0.9453300733496333,48.47120170656554,45.82128466461247
airport,2025_04_to_2025_05,XGBoost score + PE-KB evidence,210948,10464,0.9752484709480123,0.9930276497981154,0.9080330244917691,0.01208092102126334,21095,10205,9673,0.9478686918177364,48.37639251007348,45.854467883384686
airport,2025_04_to_2025_05,CatBoost score + PE-KB evidence,210948,10464,0.9729548929663608,0.9927211404993951,0.8985099321592184,0.012314110077149432,21095,10181,9678,0.9505942441803359,48.26262147428301,45.8781701825077
airport,2025_05_to_2025_06,PE-KB queue,206814,14400,0.933125,0.9868493936829498,0.8776652840673249,0.019360134300482626,20682,13437,13261,0.9869018382079333,64.96953872932986,64.11855719949715
airport,2025_05_to_2025_06,LightGBM score + PE-KB evidence,206814,14400,0.9579166666666666,0.9921556580327949,0.9142306623883427,0.01605740779996822,20682,13794,13331,0.9664346817456866,66.69567740063823,64.45701576249878
airport,2025_05_to_2025_06,XGBoost score + PE-KB evidence,206814,14400,0.9394444444444444,0.9907284399711618,0.9067116698471628,0.0165361101354513,20682,13528,13251,0.9795239503252513,65.40953486123199,64.0702059762112
airport,2025_05_to_2025_06,CatBoost score + PE-KB evidence,206814,14400,0.9383333333333334,0.9912021371669074,0.9069014481839279,0.016706253007659818,20682,13512,13236,0.9795737122557726,65.33217290397447,63.997679141282276
airport,2025_06_to_2025_07,PE-KB queue,209836,15289,0.9192229707632938,0.9852319973768894,0.8774156472766146,0.020801052347454538,20984,14054,13784,0.9807883876476448,66.97483797178803,65.68814334731223
airport,2025_06_to_2025_07,LightGBM score + PE-KB evidence,209836,15289,0.9432271567793838,0.9921686902427318,0.9190877088080753,0.017374368632623524,20984,14421,13780,0.9555509326676375,68.72378955394586,65.6690812047274
