protocol,fold,queue,rows,positives,top10_capture,auc,pr_auc,brier,reviewed_paths,captured_severe_cases,evidence_supported_severe_cases,evidence_hit_rate,severe_cases_per_100_reviews,evidence_supported_cases_per_100_reviews
carrier,2025_01_to_2025_02_AA,PE-KB queue,58589,2347,0.9931827865360034,0.9955015597200041,0.9350781859857011,0.009740904291722202,5859,2331,2197,0.9425139425139425,39.784946236559136,37.4978665301246
carrier,2025_01_to_2025_02_AA,LightGBM score + PE-KB evidence,58589,2347,0.9953131657435024,0.995985760572953,0.9386664734129047,0.010068158958312002,5859,2336,2197,0.9404965753424658,39.87028503157536,37.4978665301246
carrier,2025_01_to_2025_02_AA,XGBoost score + PE-KB evidence,58589,2347,0.9889220281210055,0.9951728740492024,0.9336900009606358,0.010340641240711514,5859,2321,2194,0.9452822059457131,39.61426864652671,37.44666325311486
carrier,2025_01_to_2025_02_AA,CatBoost score + PE-KB evidence,58589,2347,0.9880698764380059,0.994928165667669,0.9274535774951372,0.009136096843236512,5859,2319,2196,0.9469598965071151,39.580133128520224,37.48079877112135
carrier,2025_01_to_2025_02_DL,PE-KB queue,62099,2725,0.9933944954128441,0.9960808966207987,0.9269977962173649,0.00906813281225301,6210,2707,2621,0.9682305134835612,43.590982286634464,42.2061191626409
carrier,2025_01_to_2025_02_DL,LightGBM score + PE-KB evidence,62099,2725,0.9963302752293578,0.9963107102450862,0.9238368728691448,0.00965525194129821,6210,2715,2621,0.965377532228361,43.71980676328502,42.2061191626409
carrier,2025_01_to_2025_02_DL,XGBoost score + PE-KB evidence,62099,2725,0.9955963302752293,0.9962342241669431,0.9209192927132128,0.009367780375517222,6210,2713,2619,0.9653520088462956,43.687600644122384,42.17391304347826
carrier,2025_01_to_2025_02_DL,CatBoost score + PE-KB evidence,62099,2725,0.9944954128440368,0.996070148395353,0.9240450078772865,0.009271214784159956,6210,2710,2620,0.966789667896679,43.63929146537842,42.190016103059584
carrier,2025_01_to_2025_02_OO,PE-KB queue,52624,1747,0.931310818546079,0.9691435799364774,0.45420666903599505,0.04640850865450276,5263,1627,1589,0.9766441303011678,30.913927417822535,30.191905757172716
carrier,2025_01_to_2025_02_OO,LightGBM score + PE-KB evidence,52624,1747,0.934745277618775,0.967395050516291,0.43355473946491807,0.047457920537574035,5263,1633,1592,0.9748928352725046,31.027930837925137,30.248907467224015
carrier,2025_01_to_2025_02_OO,XGBoost score + PE-KB evidence,52624,1747,0.9284487693188322,0.9652915621869906,0.38460899997502096,0.04825758607494496,5263,1622,1587,0.9784217016029593,30.81892456773703,30.153904617138515
carrier,2025_01_to_2025_02_OO,CatBoost score + PE-KB evidence,52624,1747,0.9181453921007441,0.9661498956837427,0.4102461569046425,0.04877520515008584,5263,1604,1584,0.9875311720698254,30.476914307429222,30.096902907087212
carrier,2025_01_to_2025_02_UA,PE-KB queue,47542,1497,0.9993319973279893,0.9981735795767159,0.9509154609717485,0.008423421174462176,4755,1496,1471,0.9832887700534759,31.46161934805468,30.935856992639327
carrier,2025_01_to_2025_02_UA,LightGBM score + PE-KB evidence,47542,1497,0.9993319973279893,0.9982497445029416,0.9582675940434222,0.009172903838708307,4755,1496,1471,0.9832887700534759,31.46161934805468,30.935856992639327
carrier,2025_01_to_2025_02_UA,XGBoost score + PE-KB evidence,47542,1497,0.9986639946559787,0.9980524845978198,0.9590753614512102,0.009184602621742078,4755,1495,1470,0.9832775919732442,31.440588853838065,30.914826498422713
carrier,2025_01_to_2025_02_UA,CatBoost score + PE-KB evidence,47542,1497,0.9993319973279893,0.9977988263782787,0.9375698123471888,0.008359429326180057,4755,1496,1471,0.9832887700534759,31.46161934805468,30.935856992639327
carrier,2025_01_to_2025_02_WN,PE-KB queue,93042,4194,0.9794945159752027,0.9910518253632723,0.8623933135497359,0.011658581186626979,9305,4108,4032,0.9814995131450828,44.14830736163353,43.33154218162279
carrier,2025_01_to_2025_02_WN,LightGBM score + PE-KB evidence,93042,4194,0.9785407725321889,0.9929891838228418,0.893803903249985,0.012505924283082458,9305,4104,4032,0.9824561403508771,44.10531972058033,43.33154218162279
carrier,2025_01_to_2025_02_WN,XGBoost score + PE-KB evidence,93042,4194,0.9792560801144492,0.9931059086536029,0.8910394122718558,0.012286802097411214,9305,4107,4032,0.9817384952520087,44.137560451370234,43.33154218162279
carrier,2025_01_to_2025_02_WN,CatBoost score + PE-KB evidence,93042,4194,0.9761564139246542,0.9927284630329093,0.8713334597046616,0.011125785527089531,9305,4094,4032,0.9848558866634098,43.99785061794734,43.33154218162279
carrier,2025_02_to_2025_03_AA,PE-KB queue,69925,3485,0.982209469153515,0.9947239955878682,0.9297666760515928,0.011684643299574204,6993,3423,3145,0.9187846917908268,48.948948948948946,44.973544973544975
carrier,2025_02_to_2025_03_AA,LightGBM score + PE-KB evidence,69925,3485,0.9845050215208034,0.9946236277950483,0.9308014367122209,0.01148130837008136,6993,3431,3144,0.9163509180996794,49.063349063349065,44.95924495924496
carrier,2025_02_to_2025_03_AA,XGBoost score + PE-KB evidence,69925,3485,0.9784791965566715,0.9944609952173113,0.924759737375503,0.012226747603362339,6993,3410,3142,0.9214076246334311,48.763048763048765,44.93064493064493
carrier,2025_02_to_2025_03_AA,CatBoost score + PE-KB evidence,69925,3485,0.9847919655667144,0.9948730367611428,0.928645551507639,0.011417010327636966,6993,3432,3143,0.9157925407925408,49.07764907764908,44.94494494494494
carrier,2025_02_to_2025_03_DL,PE-KB queue,74352,3186,0.9934086629001884,0.9967929283186236,0.9246187442630794,0.008245722919711188,7436,3165,3051,0.9639810426540284,42.56320602474449,41.03012372243141
carrier,2025_02_to_2025_03_DL,LightGBM score + PE-KB evidence,74352,3186,0.9968612680477087,0.9968815119558404,0.9177560131578757,0.00843050076867863,7436,3176,3048,0.9596977329974811,42.71113501882733,40.989779451317915
carrier,2025_02_to_2025_03_DL,XGBoost score + PE-KB evidence,74352,3186,0.9956057752667922,0.9966302383052883,0.9129245911702152,0.008484052732319839,7436,3172,3048,0.9609079445145019,42.65734265734266,40.989779451317915
carrier,2025_02_to_2025_03_DL,CatBoost score + PE-KB evidence,74352,3186,0.9949780288763339,0.9965486430062925,0.9138749465962726,0.00852776417858962,7436,3170,3048,0.9615141955835962,42.63044647660032,40.989779451317915
carrier,2025_02_to_2025_03_OO,PE-KB queue,62683,1447,0.9530062197650311,0.970284930478221,0.34935673484001667,0.04189366887761837,6269,1379,1349,0.9782451051486585,21.99712872866486,21.51858350614133
carrier,2025_02_to_2025_03_OO,LightGBM score + PE-KB evidence,62683,1447,0.9550794747753973,0.9703396261387678,0.3464394977916849,0.04184173658565359,6269,1382,1350,0.9768451519536903,22.044983250917213,21.53453501355878
carrier,2025_02_to_2025_03_OO,XGBoost score + PE-KB evidence,62683,1447,0.949550794747754,0.96969976083105,0.31743724367939014,0.04196848792847534,6269,1374,1346,0.9796215429403202,21.917371191577605,21.47072898388898
carrier,2025_02_to_2025_03_OO,CatBoost score + PE-KB evidence,62683,1447,0.9502418797512094,0.9687282286668415,0.3226161594823929,0.04367656553833504,6269,1375,1346,0.978909090909091,21.933322698995056,21.47072898388898
carrier,2025_02_to_2025_03_UA,PE-KB queue,56387,1648,1.0,0.9982632166909626,0.9469716788051421,0.007149321908369447,5639,1648,1617,0.9811893203883495,29.225039900691613,28.675297038482
carrier,2025_02_to_2025_03_UA,LightGBM score + PE-KB evidence,56387,1648,0.9993932038834952,0.9986034566150366,0.9583260069329704,0.0075668173325745885,5639,1647,1617,0.9817850637522769,29.207306259975173,28.675297038482
carrier,2025_02_to_2025_03_UA,XGBoost score + PE-KB evidence,56387,1648,0.9987864077669902,0.998326214230744,0.9547613727746365,0.007681525191773795,5639,1646,1617,0.9823815309842041,29.189572619258733,28.675297038482
carrier,2025_02_to_2025_03_UA,CatBoost score + PE-KB evidence,56387,1648,0.9987864077669902,0.9977197617573385,0.9228347256813576,0.007095980737251787,5639,1646,1617,0.9823815309842041,29.189572619258733,28.675297038482
carrier,2025_02_to_2025_03_WN,PE-KB queue,114730,5729,0.9813230930354337,0.9906771093964879,0.8662940389747471,0.013004550408877,11473,5622,5502,0.9786552828175027,49.00200470670269,47.956070774862724
carrier,2025_02_to_2025_03_WN,LightGBM score + PE-KB evidence,114730,5729,0.981672194100192,0.9933811445701537,0.8955730004862642,0.014187106678157676,11473,5624,5501,0.9781294452347084,49.01943693890003,47.947354658764056
carrier,2025_02_to_2025_03_WN,XGBoost score + PE-KB evidence,114730,5729,0.9809739919706755,0.9936649315067033,0.8844151163349212,0.013905351796877302,11473,5620,5501,0.9788256227758008,48.98457247450536,47.947354658764056
carrier,2025_02_to_2025_03_WN,CatBoost score + PE-KB evidence,114730,5729,0.9797521382440216,0.993652438447205,0.8768935643034523,0.01258030521665104,11473,5613,5499,0.9796900053447354,48.92355966181469,47.92992242656672
carrier,2025_03_to_2025_04_AA,PE-KB queue,70337,4066,0.9788489916379735,0.9954595780507237,0.9452490777191394,0.013432099463201336,7034,3980,3838,0.964321608040201,56.58231447256184,54.563548478817175
carrier,2025_03_to_2025_04_AA,LightGBM score + PE-KB evidence,70337,4066,0.9886866699458927,0.9962562721211284,0.9515571692671325,0.013671535476564299,7034,4020,3833,0.9534825870646766,57.15098094967302,54.492465169178274
carrier,2025_03_to_2025_04_AA,XGBoost score + PE-KB evidence,70337,4066,0.9790949335956715,0.9954577521624288,0.9456900230188885,0.014686812032427813,7034,3981,3815,0.9583019341873901,56.596531134489624,54.23656525447825
carrier,2025_03_to_2025_04_AA,CatBoost score + PE-KB evidence,70337,4066,0.9894244958189867,0.9957437671725815,0.9463232926897065,0.012700326196682878,7034,4023,3839,0.9542629878200348,57.193630935456355,54.57776514074495
carrier,2025_03_to_2025_04_DL,PE-KB queue,74377,2592,0.9949845679012346,0.9965141321349675,0.9199811828843052,0.0075781905441451485,7438,2579,2489,0.9651027530050407,34.67329927399839,33.46329658510352
carrier,2025_03_to_2025_04_DL,LightGBM score + PE-KB evidence,74377,2592,0.9953703703703703,0.996997052992604,0.9169409931025974,0.007346911390265361,7438,2580,2489,0.9647286821705426,34.686743748319444,33.46329658510352
carrier,2025_03_to_2025_04_DL,XGBoost score + PE-KB evidence,74377,2592,0.9934413580246914,0.9966776353127523,0.9189763630977894,0.007799368870814133,7438,2575,2487,0.9658252427184466,34.61952137671417,33.43640763646142
carrier,2025_03_to_2025_04_DL,CatBoost score + PE-KB evidence,74377,2592,0.9953703703703703,0.9963774929767129,0.9143051568239982,0.007127530967901247,7438,2580,2489,0.9647286821705426,34.686743748319444,33.46329658510352
carrier,2025_03_to_2025_04_OO,PE-KB queue,62719,1156,0.96280276816609,0.9748137643566185,0.34778522225694036,0.038026372255771594,6272,1113,1052,0.945193171608266,17.745535714285715,16.772959183673468
carrier,2025_03_to_2025_04_OO,LightGBM score + PE-KB evidence,62719,1156,0.9602076124567474,0.9747246849332669,0.32502776574419506,0.03741845399852418,6272,1110,1052,0.9477477477477477,17.697704081632654,16.772959183673468
carrier,2025_03_to_2025_04_OO,XGBoost score + PE-KB evidence,62719,1156,0.9576124567474048,0.9748309352778798,0.29723716016416113,0.039412885716371644,6272,1107,1052,0.950316169828365,17.649872448979593,16.772959183673468
carrier,2025_03_to_2025_04_OO,CatBoost score + PE-KB evidence,62719,1156,0.9480968858131488,0.9738886001775997,0.3080045281163042,0.040526534177693425,6272,1096,1052,0.9598540145985401,17.474489795918366,16.772959183673468
carrier,2025_03_to_2025_04_UA,PE-KB queue,53917,1661,0.9993979530403372,0.9985413357036705,0.9614149399707067,0.008550723958688854,5392,1660,1617,0.9740963855421687,30.78635014836795,29.98887240356083
carrier,2025_03_to_2025_04_UA,LightGBM score + PE-KB evidence,53917,1661,1.0,0.9989277421063828,0.9711553783141691,0.008819011707610127,5392,1661,1617,0.9735099337748344,30.804896142433236,29.98887240356083
carrier,2025_03_to_2025_04_UA,XGBoost score + PE-KB evidence,53917,1661,0.9993979530403372,0.9988330558897188,0.9710042189000778,0.009938257858832894,5392,1660,1617,0.9740963855421687,30.78635014836795,29.98887240356083
carrier,2025_03_to_2025_04_UA,CatBoost score + PE-KB evidence,53917,1661,1.0,0.9984664197063647,0.9557128136315902,0.009232874911932417,5392,1661,1617,0.9735099337748344,30.804896142433236,29.98887240356083
carrier,2025_03_to_2025_04_WN,PE-KB queue,111646,6105,0.9795249795249795,0.9918330670209088,0.8621829513158056,0.014529202416565024,11165,5980,5881,0.9834448160535118,53.5602328705777,52.67353336318853
carrier,2025_03_to_2025_04_WN,LightGBM score + PE-KB evidence,111646,6105,0.9805077805077805,0.9936111991938638,0.8998144966152893,0.01796373852252899,11165,5986,5878,0.9819579017707986,53.61397223466189,52.64666368114644
carrier,2025_03_to_2025_04_WN,XGBoost score + PE-KB evidence,111646,6105,0.98001638001638,0.9934986082123214,0.889984659088787,0.01802574783684129,11165,5983,5880,0.9827845562426876,53.5871025526198,52.66457680250784
carrier,2025_03_to_2025_04_WN,CatBoost score + PE-KB evidence,111646,6105,0.9783783783783784,0.9932828810639329,0.8704376728476739,0.014308397929630083,11165,5973,5877,0.9839276745354093,53.49753694581281,52.63770712046574
carrier,2025_04_to_2025_05_AA,PE-KB queue,72653,4395,0.9747440273037543,0.9951944457805827,0.945260641452593,0.014246346999907587,7266,4284,4120,0.96171802054155,58.959537572254334,56.70244976603358
carrier,2025_04_to_2025_05_AA,LightGBM score + PE-KB evidence,72653,4395,0.978839590443686,0.9953407820845429,0.9449786122841353,0.01440223553752654,7266,4302,4110,0.9553695955369595,59.20726672171759,56.56482246077622
carrier,2025_04_to_2025_05_AA,XGBoost score + PE-KB evidence,72653,4395,0.9720136518771331,0.9949267603465685,0.9426830779715437,0.01506612849415137,7266,4272,4101,0.9599719101123596,58.7943848059455,56.44095788604459
carrier,2025_04_to_2025_05_AA,CatBoost score + PE-KB evidence,72653,4395,0.9781569965870307,0.9952286864756688,0.9452903078601558,0.013537280269976497,7266,4299,4112,0.9565015119795302,59.16597853014038,56.59234792182769
carrier,2025_04_to_2025_05_DL,PE-KB queue,80280,3936,0.9913617886178862,0.995986385356525,0.9293614280048598,0.010125593136315452,8028,3902,3744,0.9595079446437724,48.60488290981564,46.63677130044843
carrier,2025_04_to_2025_05_DL,LightGBM score + PE-KB evidence,80280,3936,0.9956808943089431,0.9966122697786826,0.927372765150354,0.010266188769439908,8028,3919,3743,0.955090584332738,48.81664175386148,46.6243148978575
carrier,2025_04_to_2025_05_DL,XGBoost score + PE-KB evidence,80280,3936,0.9913617886178862,0.9963684945984755,0.9281557525636016,0.01039894395045667,8028,3902,3739,0.9582265504869297,48.60488290981564,46.57448928749377
